sep=;
category;technical_unit;mark;model;equipment_level;eps_lad_number;price;source;metadata
Fermu aprīkojums un iekārtas;Novietnes aprīkojums;KRAIBURG;WELALONGLINE 245;Premium;FA-13-0000054;30904.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6072&page=2;{'aprikojuma_apraksts': 'Gumijas paklāji guļvietām. Gumijas paklājs paredzēts liellopiem nepiesietā turēšanā. Kopējais biezums ar lamelēm 50mm.\r\n- Apakšējais profils – zvīņveida lameles\r\n- Četrkārtīga netīrumu aizsargbarjera apakšpuses perimetrā nodrošina higiēnisku stāvvietu arī zem paklāja.\r\n- Ļoti augsta nodilumizturība\r\n- Ideāls gulēšanas komforts \r\n- Nodrošina pareizu govs ķermeņa stāvokli un atrašanos guļvietā. \r\n- Nostiprināti ar nerūsējošā tērauda betona naglām.\r\n- izrullējams katrā guļvietu rindā.\r\n- Paklāja platums 1,83m, garumi pēc projekta. \r\nCena ar piegādi un uzstādīšanu sagatavotā vietā.', 'dzivnieku_skaits_gab': 245.0, 'pielietojums_govim_vecums_menesos': 12.0, 'pielietojums_jaunlopiem_vecums_menesos': 0.0}
Traktori;Lauksaimniecības traktors;MASSEY FERGUSON;8S.265 D7 EXCLUSIVE;Premium;TR-01-0000637;189900.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6200&page=2;{'aprikojuma_apraksts': 'Reģistrējamā jauda 277 Zs, maksimālā jauda 285 Zs. Dzinējs: 6 cilindru 7.4 l. Transmisija: Dyna-7 28X28 pārnesumi, 50 km/h, priekšējā tilta amortizācija. Hidraulika: sūkņa ražīgums 205 l/min, 5 hidroizvadu pāri aizmugurē, 1 hidroizvadu pāris priekšā. Piekabju bremzes. Priekšējā un aizmugurējā uzkare. Aizmugurējā jūgvārpsta. Atsvari aizmugurējos riteņos, priekšējais atsvars. LED darba gaismas. Kabīnes aprīkojums: kabīnes amortizācija, Pneimatiskas amortizācijas operatora sēdeklis, instruktora sēdeklis, Klimatkontrole, radio, automātiskā stūrēšana RTK ar precizitāti +/-2.5 cm, ISOBus savienojamība, 9 collu traktora vadības monitors. No ražotāja iekļauta pagarinātā garantija ar kopējo garantijas termiņu 24 mēneši vai 1800 mh (bez pašriska).', 'dzinejs_jauda_zs': 277.0, 'dzinejs_cilindru_skaits': 6.0, 'ritenu_formula': 'kāpurķēžu', 'transmisija_parnesumu_skaits_uz_prieksu': 28.0, 'transmisija_parnesumu_skaits_atpakal': 28.0, 'transmisija_bezpakapju': 'Nē', 'hidrosukna_razigums_l_min': 205.0, 'uzkares_celtspeja_kg': 10000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;S40 AR TVERTNI;Premium;RP-05-0000115;10300.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7501&page=2;{'aprikojuma_apraksts': 'PRECO S40, 8 m, skrāpju transportieris, 4 kW redaktormotors, 30 grādu transportiera līkums, motora nosegs, 6 m iebires sekcija ar tvertn un papildus aizmugures bortiem, motora nokrišnu aizsargs.', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 40.0, 'piemerots_glabatuves_ietilpibai_t': 1000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;K100 , 80 TH, 17 M;Vidējais;RP-05-0000116;10800.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7510&page=2;{'aprikojuma_apraksts': 'ķēžu transportieris 17 m garums, 3 kw redaktormotors, 2 gb. elektriskie izbires šiberi ar tirošajām birstītēm, tīrošie transportieru kausiņi, 2 gb izbires D250', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 80.0, 'piemerots_glabatuves_ietilpibai_t': 4000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;S80, 80 TH, 8 M;Vidējais;RP-05-0000117;9660.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7512&page=2;{'aprikojuma_apraksts': 'Pieņemšanas skrāpju transportieris 80 th, transportiera 45 grādu izliekuma sekcija, 4 m iebires sekcija, 7.5 kW redaktormotors', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 80.0, 'piemerots_glabatuves_ietilpibai_t': 4000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu kalte;PRECO;GM7R;Premium;RP-01-0000058;132500.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7526&page=2;{'aprikojuma_apraksts': 'Caurplūdes kalte, 7 gb. kaltēšanas sekcijas, 2 gb. bufersekcijas, 1 gb. kaltes izbire, dzesēšanas gaisa recirkulācija bez piespiedu gaisu plūsmas. kāpnes ar platformu, ventilātors Centrifan 30 kw ar putekļu atdalīšana, dīzeļa kurtuve 1700 kW ar dīzeļa degli, skārienjūtīgs ekrāns ar vadības skapi, kaltes siltinājums ar sendvičpaneļiem 100mm, mitruma kontroles sistēma LIROS', 'darbibas_princips': 'porciju', 'darba_razigums_t_h': 17.5, 'ietilpiba_t': 27.2, 'kurinamais': ['gāze'], 'kurinamais_ja_atzimets_cits': 0, 'tips': 'mobila'}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu glabātuve;MYSILO;061145-ZO 5 GB.;Vidējais;RP-02-0000034;149000.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7518&page=2;{'aprikojuma_apraksts': 'Konusa graudu uzglabāšanas torņi 5 gb., sānu un konusa kāpnes, jumta kāpnes, aerārijas caurule ar ventilātoru 7.5 HP un savienojumu, konusa pāreja no D500 mm uz K219 mm, elektriskais izlādes šiberis, augšējā platforma 21 m, 5 gb. platformu atbalsti no torņa, platformas kāpnes uz torņa', 'ietilpiba_m3': 1265.0, 'izmeri_m_diametrs': 5.5, 'izmeri_m_platums': 5.5, 'izmeri_m_garums': 5.5, 'izmeri_m_augstums': 14.23, 'tips': 'ekspedīcijas', 'izkrausanas_konusa_lenkis_gradi': 45.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;K60 30 M;Premium;RP-05-0000118;19500.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7533&page=2;{'aprikojuma_apraksts': 'Kēžu transportieris 30 m, 5.5 kW redaktormotors, 5 gb. elektriskie izbires šīberi ar bīrstītēm un nokrišņu aizsargie, motora nokrišņu aizsargs, 5 gb. D200 izbires, tīrošie kausiņi 30 m', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 60.0, 'piemerots_glabatuves_ietilpibai_t': 2000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;S80L;Premium;RP-05-0000120;20500.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7537&page=2;{'aprikojuma_apraksts': 'Skrāpju transportieris torņu izlādei 30 m, 45 grādu izliekuma sekcija, 5 gb. nekontrolētas plūsmas iebires, 7.5 kW redaktormotors, motora nokrišņu aizsargs, 10 gb. transportiera kājiņas', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 60.0, 'piemerots_glabatuves_ietilpibai_t': 2000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;K60;Vidējais;RP-05-0000121;4800.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=7540&page=2;{'aprikojuma_apraksts': 'Transportiera garums 7 m, viena ibire un izbire, motora nokrišņu aizsargs, ražība 60 th,', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 60.0, 'piemerots_glabatuves_ietilpibai_t': 2000.0}
